,nombre,precio,rating,fecha_entrega
38,AKASENKO,209.,5.0 de 5 estrellas,"mié, 1 de may "
39,Viraduckt,228.,4.2 de 5 estrellas,24 - 31 de may 
40,Aomigoct,209.,4.8 de 5 estrellas,23 - 30 de may 
41,Ablanczoom,199.,4.6 de 5 estrellas,"mié, 1 de may "
42,New Balance,"1,911.",4.5 de 5 estrellas,"mañana, 30 de abr "
43,RELAAX IN,259.,4.5 de 5 estrellas,"dom, 5 de may "
44,Skechers,654.,3.1 de 5 estrellas,"mié, 1 de may "
45,Kundork,622.,5.0 de 5 estrellas,"mañana, 30 de abr "
46,Aomigoct,193.,4.6 de 5 estrellas,"mié, 1 de may "
47,Genérico,219.,5.0 de 5 estrellas,"mañana, 30 de abr "
48,PUMA,"1,138.",4.4 de 5 estrellas,"mié, 1 de may "
49,Generic,299.,4.5 de 5 estrellas,"mañana, 30 de abr "
50,Atoshopce,249.,3.0 de 5 estrellas,"mié, 1 de may "
51,DAHAN,313.,5.0 de 5 estrellas,"mañana, 30 de abr "
52,Atoshopce,239.,4.6 de 5 estrellas,"mié, 1 de may "
53,Ablanczoom,239.,5.0 de 5 estrellas,"mañana, 30 de abr "
54,Atoshopce,249.,5.0 de 5 estrellas,13 - 23 de may 
55,Diolyvion,398.,4.8 de 5 estrellas,"mié, 1 de may "
56,ZAEM,359.,4.8 de 5 estrellas,"mié, 1 de may "
57,MIYIHA,279.,4.4 de 5 estrellas,"mañana, 30 de abr "
58,GOGOGOAL,419.,4 Estrellas o más,"mié, 1 de may "
59,AKASENKO,251.,3 Estrellas o más,"mañana, 30 de abr "
60,Ifrich,603.,2 Estrellas o más,"mié, 1 de may "
61,SKIUHS,399.,4.7 de un máximo de 5 estrellas.,24 - 31 de may 
62,Ablanczoom,239.,3.0 de 5 estrellas,"mié, 1 de may "
63,Bluemega,199.,4.0 de 5 estrellas,"mañana, 30 de abr "
64,Atoshopce,249.,5.0 de 5 estrellas,"mié, 1 de may "
65,Skechers,"1,016.",4.7 de 5 estrellas,"mañana, 30 de abr "
66,Judxsious,265.,5.0 de 5 estrellas,"mié, 1 de may "
67,Judxsious,221.,5.0 de 5 estrellas,"mañana, 30 de abr "
68,Skechers,"1,306.",4.8 de 5 estrellas,"mié, 1 de may "
69,Viraduckt,245.,4.7 de 5 estrellas,"mañana, 30 de abr "
70,Skechers,"1,063.",4.2 de 5 estrellas,"mié, 1 de may "
71,RELAAX IN,279.,5.0 de 5 estrellas,"mié, 1 de may "
72,FUDYNMALC,244.,3.0 de 5 estrellas,"mañana, 30 de abr "
73,Aomigoct,193.,4.3 de 5 estrellas,"mié, 1 de may "
74,PUMA,935.,4.5 de 5 estrellas,"mañana, 30 de abr "
75,Nautica,671.,4.8 de 5 estrellas,"mié, 1 de may "
76,Atoshopce,199.,4.4 de 5 estrellas,"mañana, 30 de abr "
77,Nautica,666.,3.0 de 5 estrellas,"mié, 1 de may "
78,WAGYX,202.,4.5 de 5 estrellas,"mañana, 30 de abr "
79,DREAM PAIRS,719.,4.3 de 5 estrellas,"mié, 1 de may "
80,LASUDRAA,139.,3.9 de 5 estrellas,"mañana, 30 de abr "
81,VGEBY,316.,4.1 de 5 estrellas,"lun, 6 de may "
82,Zonkacen,399.,4.6 de 5 estrellas,"mié, 1 de may "
83,Diolyvion,399.,4.5 de 5 estrellas,"dom, 5 de may "
84,FUDYNMALC,208.,4.0 de 5 estrellas,5 - 11 de jun 
85,Converse,"1,182.",3.0 de 5 estrellas,"lun, 6 de may "
86,ForGue,260.,4.4 de 5 estrellas,20 - 30 de may 
87,Ablanczoom,239.,4.4 de 5 estrellas,"mié, 1 de may "
88,Viraduckt,259.,4.3 de 5 estrellas,"mañana, 30 de abr "
89,Skechers,"1,252.",5.0 de 5 estrellas,13 - 24 de may 
90,LASUDRAA,199.,4.5 de 5 estrellas,"dom, 5 de may "
91,LASUDRAA,159.,4.2 de 5 estrellas,"mié, 1 de may "
92,Converse,"1,152.",5.0 de 5 estrellas,"mañana, 30 de abr "
93,KELISI,699.,4.6 de 5 estrellas,13 - 24 de may 
94,MIYIHA,279.,4.4 de 5 estrellas,8 - 16 de may 
95,PUMA,"1,264.",4.7 de 5 estrellas,"mié, 1 de may "
96,CoviniTee,209.,4.7 de 5 estrellas,"mañana, 30 de abr "
97,New Balance,"1,617.",4.6 de 5 estrellas,"mié, 1 de may "
98,YOKNETIG,239.,4.8 de 5 estrellas,"mañana, 30 de abr "
99,Skechers,"1,153.",4.6 de 5 estrellas,"mié, 1 de may "
100,Skechers,"1,076.",4.6 de 5 estrellas,"mañana, 30 de abr "
101,Skechers,597.,4.4 de 5 estrellas,20 - 30 de may 
102,Nautica,"1,499.",4.8 de 5 estrellas,20 - 30 de may 
103,PUMA,700.,4.2 de 5 estrellas,"mar, 7 de may "
104,Nautica,299.,4.1 de 5 estrellas,"mié, 1 de may "
105,Skechers,883.,3.0 de 5 estrellas,"mañana, 30 de abr "
106,Genérico,281.,4.4 de 5 estrellas,"mié, 1 de may "
107,PUMA,"1,094.",4.7 de 5 estrellas,28 - 31 de may 
108,FRIPPS,240.,5.0 de 5 estrellas,"mié, 1 de may "
109,Reebok,949.,5.0 de 5 estrellas,"mié, 1 de may "
110,Judxsious,389.,4.4 de 5 estrellas,"mañana, 30 de abr "
111,Skechers,199.,3.7 de 5 estrellas,"mié, 1 de may "
112,BexpAudpot,701.,4.7 de 5 estrellas,"mañana, 30 de abr "
113,SKIUHS,699.,4.2 de 5 estrellas,"dom, 5 de may "
114,JITUUE,449.,4.7 de 5 estrellas,"mié, 1 de may "
115,Rallmmo,219.,4 Estrellas o más,"mañana, 30 de abr "
116,YTINGNICE,850.,3 Estrellas o más,"sáb, 4 de may "
117,VIA MODA,479.,2 Estrellas o más,13 - 24 de may 
